2L	21163511	21163512	105
2L	21163512	21163513	97
2L	21163513	21163514	97
2L	21163514	21163515	97
2L	21163515	21163516	97
2L	21163516	21163517	95
2L	21163517	21163518	94
2L	21163518	21163519	79
2L	21163519	21163520	75
2L	21163520	21163521	74
2L	21163521	21163522	73
2L	21163522	21163523	72
2L	21163523	21163524	72
2L	21163524	21163525	72
2L	21163525	21163526	71
2L	21163526	21163527	68
2L	21163527	21163528	68
2L	21163528	21163529	68
2L	21163529	21163530	68
2L	21163530	21163531	68
2L	21163531	21163532	68
2L	21163532	21163533	68
2L	21163533	21163534	68
2L	21163534	21163535	68
2L	21163535	21163536	68
2L	21163536	21163537	68
2L	21163537	21163538	68
2L	21163538	21163539	66
2L	21163539	21163540	55
2L	21163540	21163541	53
2L	21163541	21163542	53
2L	21163542	21163543	53
2L	21163543	21163544	53
2L	21163544	21163545	53
2L	21163545	21163546	50
2L	21163546	21163547	50
2L	21163547	21163548	50
2L	21163548	21163549	50
2L	21163549	21163550	50
2L	21163550	21163551	18
2L	21163551	21163552	9
2L	21163552	21163553	9
2L	21163553	21163554	9
2L	21163554	21163555	9
2L	21163555	21163556	9
2L	21163556	21163557	9
2L	21163557	21163558	9
2L	21163558	21163559	9
2L	21163559	21163560	4
2L	21163560	21163561	3
2L	21163561	21163562	3
2L	21163562	21163563	4
2L	21163563	21163564	7
2L	21163564	21163565	7
2L	21163565	21163566	7
2L	21163566	21163567	7
2L	21163567	21163568	7
2L	21163568	21163569	7
2L	21163569	21163570	7
2L	21163570	21163571	7
2L	21163571	21163572	7
2L	21163572	21163573	11
2L	21163573	21163574	17
2L	21163574	21163575	17
2L	21163575	21163576	17
2L	21163576	21163577	17
2L	21163577	21163578	16
2L	21163578	21163579	16
2L	21163579	21163580	16
2L	21163580	21163581	16
2L	21163581	21163582	16
2L	21163582	21163583	16
2L	21163583	21163584	16
2L	21163584	21163585	16
2L	21163585	21163586	16
2L	21163586	21163587	17
2L	21163587	21163588	26
2L	21163588	21163589	32
2L	21163589	21163590	35
2L	21163590	21163591	35
2L	21163591	21163592	36
2L	21163592	21163593	36
2L	21163593	21163594	35
2L	21163594	21163595	65
2L	21163595	21163596	65
2L	21163596	21163597	65
2L	21163597	21163598	65
2L	21163598	21163599	70
2L	21163599	21163600	70
2L	21163600	21163601	70
2L	21163601	21163602	75
2L	21163602	21163603	75
2L	21163603	21163604	75
2L	21163604	21163605	76
2L	21163605	21163606	76
2L	21163606	21163607	76
2L	21163607	21163608	69
2L	21163608	21163609	70
2L	21163609	21163610	69
2L	21163610	21163611	69
2L	21163611	21163612	69
2L	21163612	21163613	69
2L	21163613	21163614	75
2L	21163614	21163615	75
2L	21163615	21163616	110
2L	21163616	21163617	109
2L	21163617	21163618	109
2L	21163618	21163619	123
2L	21163619	21163620	123
2L	21163620	21163621	123
2L	21163621	21163622	119
2L	21163622	21163623	122
2L	21163623	21163624	122
2L	21163624	21163625	121
2L	21163625	21163626	119
2L	21163626	21163627	120
2L	21163627	21163628	120
2L	21163628	21163629	120
2L	21163629	21163630	120
2L	21163630	21163631	120
2L	21163631	21163632	115
2L	21163632	21163633	96
2L	21163633	21163634	93
2L	21163634	21163635	94
2L	21163635	21163636	93
2L	21163636	21163637	93
2L	21163637	21163638	94
2L	21163638	21163639	93
2L	21163639	21163640	96
2L	21163640	21163641	95
2L	21163641	21163642	92
2L	21163642	21163643	92
2L	21163643	21163644	91
2L	21163644	21163645	92
2L	21163645	21163646	87
2L	21163646	21163647	83
2L	21163647	21163648	84
2L	21163648	21163649	82
2L	21163649	21163650	68
2L	21163650	21163651	36
2L	21163651	21163652	34
2L	21163652	21163653	35
2L	21163653	21163654	34
2L	21163654	21163655	34
2L	21163655	21163656	34
2L	21163656	21163657	22
2L	21163657	21163658	21
2L	21163658	21163659	18
2L	21163659	21163660	18
2L	21163660	21163661	17
2L	21163661	21163662	21
2L	21163662	21163663	20
2L	21163663	21163664	20
2L	21163664	21163665	21
2L	21163665	21163666	22
2L	21163666	21163667	22
2L	21163667	21163668	22
2L	21163668	21163669	23
2L	21163669	21163670	22
2L	21163670	21163671	20
2L	21163671	21163672	17
2L	21163672	21163673	17
2L	21163673	21163674	17
2L	21163674	21163675	17
2L	21163675	21163676	17
2L	21163676	21163677	17
2L	21163677	21163678	17
2L	21163678	21163679	17
2L	21163679	21163680	18
2L	21163680	21163681	18
2L	21163681	21163682	19
2L	21163682	21163683	35
2L	21163683	21163684	36
2L	21163684	21163685	36
2L	21163685	21163686	38
2L	21163686	21163687	39
2L	21163687	21163688	39
2L	21163688	21163689	35
2L	21163689	21163690	35
2L	21163690	21163691	41
2L	21163691	21163692	41
2L	21163692	21163693	42
2L	21163693	21163694	42
2L	21163694	21163695	42
2L	21163695	21163696	42
2L	21163696	21163697	42
2L	21163697	21163698	42
2L	21163698	21163699	42
2L	21163699	21163700	42
2L	21163700	21163701	42
2L	21163701	21163702	42
2L	21163702	21163703	46
2L	21163703	21163704	55
2L	21163704	21163705	55
2L	21163705	21163706	57
2L	21163706	21163707	58
2L	21163707	21163708	58
2L	21163708	21163709	58
2L	21163709	21163710	58
2L	21163710	21163711	59
2L	21163711	21163712	59
2L	21163712	21163713	59
2L	21163713	21163714	59
2L	21163714	21163715	59
2L	21163715	21163716	59
2L	21163716	21163717	59
2L	21163717	21163718	60
2L	21163718	21163719	60
2L	21163719	21163720	60
2L	21163720	21163721	61
2L	21163721	21163722	63
2L	21163722	21163723	63
2L	21163723	21163724	63
2L	21163724	21163725	63
2L	21163725	21163726	63
2L	21163726	21163727	63
2L	21163727	21163728	63
2L	21163728	21163729	63
2L	21163729	21163730	59
2L	21163730	21163731	58
2L	21163731	21163732	61
2L	21163732	21163733	64
2L	21163733	21163734	64
2L	21163734	21163735	64
2L	21163735	21163736	64
2L	21163736	21163737	64
2L	21163737	21163738	64
2L	21163738	21163739	64
2L	21163739	21163740	64
2L	21163740	21163741	64
2L	21163741	21163742	64
2L	21163742	21163743	64
2L	21163743	21163744	64
2L	21163744	21163745	64
2L	21163745	21163746	64
2L	21163746	21163747	64
2L	21163747	21163748	64
2L	21163748	21163749	64
2L	21163749	21163750	64
2L	21163750	21163751	67
2L	21163751	21163752	69
2L	21163752	21163753	69
2L	21163753	21163754	69
2L	21163754	21163755	69
2L	21163755	21163756	69
2L	21163756	21163757	69
2L	21163757	21163758	69
2L	21163758	21163759	68
2L	21163759	21163760	68
2L	21163760	21163761	67
2L	21163761	21163762	67
2L	21163762	21163763	67
2L	21163763	21163764	67
2L	21163764	21163765	66
2L	21163765	21163766	66
2L	21163766	21163767	66
2L	21163767	21163768	66
2L	21163768	21163769	66
2L	21163769	21163770	66
2L	21163770	21163771	66
2L	21163771	21163772	66
2L	21163772	21163773	66
2L	21163773	21163774	67
2L	21163774	21163775	67
2L	21163775	21163776	67
2L	21163776	21163777	67
2L	21163777	21163778	68
2L	21163778	21163779	68
2L	21163779	21163780	68
2L	21163780	21163781	68
2L	21163781	21163782	67
2L	21163782	21163783	67
2L	21163783	21163784	67
2L	21163784	21163785	66
2L	21163785	21163786	65
2L	21163786	21163787	65
2L	21163787	21163788	64
2L	21163788	21163789	63
2L	21163789	21163790	63
2L	21163790	21163791	63
2L	21163791	21163792	63
2L	21163792	21163793	63
2L	21163793	21163794	62
2L	21163794	21163795	62
2L	21163795	21163796	62
2L	21163796	21163797	62
2L	21163797	21163798	62
2L	21163798	21163799	62
2L	21163799	21163800	61
2L	21163800	21163801	61
2L	21163801	21163802	61
2L	21163802	21163803	60
2L	21163803	21163804	60
2L	21163804	21163805	60
2L	21163805	21163806	58
2L	21163806	21163807	55
2L	21163807	21163808	56
2L	21163808	21163809	56
2L	21163809	21163810	57
2L	21163810	21163811	60
2L	21163811	21163812	61
2L	21163812	21163813	61
2L	21163813	21163814	61
2L	21163814	21163815	61
2L	21163815	21163816	61
2L	21163816	21163817	62
2L	21163817	21163818	63
2L	21163818	21163819	63
2L	21163819	21163820	62
2L	21163820	21163821	62
2L	21163821	21163822	60
2L	21163822	21163823	58
2L	21163823	21163824	59
2L	21163824	21163825	59
2L	21163825	21163826	59
2L	21163826	21163827	59
2L	21163827	21163828	59
2L	21163828	21163829	59
2L	21163829	21163830	59
2L	21163830	21163831	58
2L	21163831	21163832	57
2L	21163832	21163833	57
2L	21163833	21163834	57
2L	21163834	21163835	54
2L	21163835	21163836	41
2L	21163836	21163837	38
2L	21163837	21163838	29
2L	21163838	21163839	28
2L	21163839	21163840	27
2L	21163840	21163841	27
2L	21163841	21163842	29
2L	21163842	21163843	29
2L	21163843	21163844	29
2L	21163844	21163845	31
2L	21163845	21163846	34
2L	21163846	21163847	34
2L	21163847	21163848	34
2L	21163848	21163849	28
2L	21163849	21163850	30
2L	21163850	21163851	34
2L	21163851	21163852	33
2L	21163852	21163853	33
2L	21163853	21163854	33
2L	21163854	21163855	28
2L	21163855	21163856	28
2L	21163856	21163857	26
2L	21163857	21163858	25
2L	21163858	21163859	25
2L	21163859	21163860	25
2L	21163860	21163861	25
2L	21163861	21163862	26
2L	21163862	21163863	35
2L	21163863	21163864	35
2L	21163864	21163865	34
2L	21163865	21163866	34
2L	21163866	21163867	34
2L	21163867	21163868	33
2L	21163868	21163869	33
2L	21163869	21163870	33
2L	21163870	21163871	35
2L	21163871	21163872	38
2L	21163872	21163873	37
2L	21163873	21163874	37
2L	21163874	21163875	37
2L	21163875	21163876	39
2L	21163876	21163877	39
2L	21163877	21163878	39
2L	21163878	21163879	39
2L	21163879	21163880	38
2L	21163880	21163881	38
