Gene_name	Enrichment
FBgn0031208	0.0
FBgn0002121	0.6366755870014764
FBgn0031209	0.0
FBgn0051973	-0.08927367456838328
FBgn0067779	0.5284823196690548
FBgn0031213	0.011106934734060528
FBgn0031214	0.10891931467125449
FBgn0002931	-0.791458399595215
FBgn0031216	1.0226841622087262
FBgn0031217	-0.5592613924525606
FBgn0026787	0.6447095877703841
FBgn0005278	-1.176600730210654
FBgn0031219	0.7028621285279787
FBgn0031220	0.4618162162178007
FBgn0025683	0.12848791660764963
FBgn0001142	4.734709967706831
FBgn0051975	1.3097022534126446
FBgn0051976	1.3016546111481404
FBgn0051974	-1.1964927220241908
FBgn0031224	-0.26687162874362463
FBgn0259818	-0.3167720158299819
FBgn0031227	-1.5270617055790914
FBgn0031228	-0.9264178028941157
FBgn0031229	-0.16502394384507788
FBgn0053635	-0.09173227082397023
FBgn0016977	0.3817402601958598
FBgn0031231	-1.0109758631782706
FBgn0031232	-1.8060529277893915
FBgn0031233	0.5239674897909073
FBgn0086902	0.2637462695897768
FBgn0031235	0.0
FBgn0022246	-0.9551863398950315
FBgn0031238	0.4508879281242554
FBgn0031239	0.0
FBgn0031240	0.0
FBgn0086912	-2.0278460565820624
FBgn0086856	-1.1290935231478472
FBgn0086855	-0.06664434670395061
FBgn0003444	0.8536320659306195
FBgn0031244	-2.088280910498843
FBgn0031245	2.2491980808762655
FBgn0025686	10.580776751549694
FBgn0031247	-0.981176105177349
FBgn0017457	-0.8041365706975669
FBgn0024352	-0.14077239875714928
FBgn0020622	-0.5035167231799382
FBgn0004611	0.054689549990966584
FBgn0031248	0.0
FBgn0031249	0.0
FBgn0053127	0.0
FBgn0051920	8.22601232539761
FBgn0045202	0.0
FBgn0051921	0.1909306215775973
FBgn0031250	1.8332763880519876
FBgn0000061	-8.957934906697272
FBgn0031251	1.9934251758674086
FBgn0003278	-2.580027442131894
FBgn0015567	0.45964853140151496
FBgn0023444	-0.02813636846713381
FBgn0031252	-1.422016953770142
FBgn0002593	-0.6891339146350047
FBgn0031253	-0.9635431951625897
FBgn0031254	-0.48657910581079683
FBgn0031255	-2.0674280930661264
FBgn0004583	0.4471829698310569
FBgn0015924	1.7228606250468808
FBgn0031256	-0.22233828783164647
FBgn0262510	0.0
FBgn0031257	0.5539169456566537
FBgn0031258	-0.992386039798039
FBgn0027592	-0.03772735370499403
FBgn0043364	0.056082717779046866
FBgn0003963	0.5191502145612266
FBgn0010602	-0.6506468384138769
FBgn0031260	-1.1844731415699044
FBgn0031261	-1.6930061059042003
FBgn0005660	-0.720571523569454
FBgn0260933	0.45219087155397875
FBgn0031263	-0.4241238190111808
FBgn0031264	-2.48553828333761
FBgn0031265	-1.9927738805794404
FBgn0021874	-2.0134915914360496
FBgn0031266	-0.051582502678837544
FBgn0031267	-0.4286159829795624
FBgn0031268	2.8359331915895387
FBgn0013323	0.01514482956637351
FBgn0023489	1.1911543094110764
FBgn0010323	-0.8057128388014791
FBgn0031270	-0.9677868743594343
FBgn0040106	0.0
FBgn0040107	10.671142965948432
FBgn0031273	0.0
FBgn0000497	-6.191767923263054
FBgn0011244	11.060277111104215
FBgn0026438	8.58943767551828
FBgn0031275	1.3598803695901243
FBgn0031276	0.0
FBgn0040725	0.0
FBgn0031277	0.0
